kljuc_igre,kljuc_razvijalca,razvijalec
1,6661,Bungie
87,6661,Bungie
184,6661,Bungie
3778,6661,Bungie
3778,6661,Bungie
5803,6661,Bungie
6,6661,Bungie
615,6661,Bungie
292,6662,Crytek
4327,6662,Crytek
5654,6662,Crytek
9228,6662,Crytek
14573,6662,Crytek
12044,6662,Crytek
16910,6662,Crytek
12161,6662,Crytek
6908,6666,Namco
10199,6666,Namco
28377,6666,Namco
300,6668,Ubisoft Montreal
103,6668,Ubisoft Montreal
747,6668,Ubisoft Montreal
835,6668,Ubisoft Montreal
849,6668,Ubisoft Montreal
1707,6668,Ubisoft Montreal
3426,6668,Ubisoft Montreal
816,6668,Ubisoft Montreal
2609,6668,Ubisoft Montreal
4000,6668,Ubisoft Montreal
4553,6668,Ubisoft Montreal
7723,6668,Ubisoft Montreal
7859,6668,Ubisoft Montreal
5839,6668,Ubisoft Montreal
11344,6668,Ubisoft Montreal
6309,6668,Ubisoft Montreal
11948,6668,Ubisoft Montreal
4714,6668,Ubisoft Montreal
7178,6668,Ubisoft Montreal
7727,6668,Ubisoft Montreal
5917,6668,Ubisoft Montreal
7857,6668,Ubisoft Montreal
11522,6668,Ubisoft Montreal
7858,6668,Ubisoft Montreal
32046,6668,Ubisoft Montreal
9344,6668,Ubisoft Montreal
8520,6668,Ubisoft Montreal
18810,6668,Ubisoft Montreal
11263,6668,Ubisoft Montreal
10506,6668,Ubisoft Montreal
11478,6668,Ubisoft Montreal
12020,6668,Ubisoft Montreal
11482,6668,Ubisoft Montreal
11548,6668,Ubisoft Montreal
76200,6668,Ubisoft Montreal
16317,6668,Ubisoft Montreal
8951,6668,Ubisoft Montreal
11954,6668,Ubisoft Montreal
11953,6668,Ubisoft Montreal
17581,6668,Ubisoft Montreal
19868,6668,Ubisoft Montreal
14373,6668,Ubisoft Montreal
16283,6668,Ubisoft Montreal
4186,6668,Ubisoft Montreal
107806,6668,Ubisoft Montreal
12839,6668,Ubisoft Montreal
17579,6668,Ubisoft Montreal
33032,6668,Ubisoft Montreal
16378,6668,Ubisoft Montreal
92749,6668,Ubisoft Montreal
910,6669,Irrational Games
3953,6669,Irrational Games
15383,6669,Irrational Games
79407,6669,Irrational Games
13933,6669,Irrational Games
13036,6669,Irrational Games
616,66610,Visceral Games
291,66610,Visceral Games
7386,66610,Visceral Games
4174,66610,Visceral Games
7852,66610,Visceral Games
7853,66610,Visceral Games
7432,66610,Visceral Games
26471,66610,Visceral Games
9999,66610,Visceral Games
78880,66610,Visceral Games
12288,66610,Visceral Games
14897,66610,Visceral Games
15277,66610,Visceral Games
13037,66610,Visceral Games
13990,66610,Visceral Games
78882,66610,Visceral Games
4545,66611,Capcom
14,66611,Capcom
13,66611,Capcom
5336,66611,Capcom
4567,66611,Capcom
54,66611,Capcom
401,66611,Capcom
803,66611,Capcom
4568,66611,Capcom
2143,66611,Capcom
3754,66611,Capcom
3726,66611,Capcom
5184,66611,Capcom
2783,66611,Capcom
3740,66611,Capcom
7502,66611,Capcom
3754,66611,Capcom
3686,66611,Capcom
4545,66611,Capcom
4567,66611,Capcom
1491,66611,Capcom
3730,66611,Capcom
7826,66611,Capcom
4788,66611,Capcom
5182,66611,Capcom
3741,66611,Capcom
8152,66611,Capcom
3687,66611,Capcom
6644,66611,Capcom
5183,66611,Capcom
10395,66611,Capcom
5286,66611,Capcom
7027,66611,Capcom
11310,66611,Capcom
6879,66611,Capcom
6744,66611,Capcom
11950,66611,Capcom
12246,66611,Capcom
9393,66611,Capcom
6881,66611,Capcom
14684,66611,Capcom
9087,66611,Capcom
16013,66611,Capcom
12197,66611,Capcom
9338,66611,Capcom
9088,66611,Capcom
34165,66611,Capcom
8448,66611,Capcom
12901,66611,Capcom
11027,66611,Capcom
14697,66611,Capcom
10364,66611,Capcom
9063,66611,Capcom
10346,66611,Capcom
15818,66611,Capcom
55,66611,Capcom
26016,66611,Capcom
45267,66611,Capcom
983,66611,Capcom
23328,66611,Capcom
15816,66611,Capcom
3607,66611,Capcom
32096,66611,Capcom
13498,66611,Capcom
16484,66611,Capcom
4201,66611,Capcom
12118,66611,Capcom
4676,66611,Capcom
16507,66611,Capcom
12468,66611,Capcom
5102,66611,Capcom
408,66611,Capcom
15814,66611,Capcom
15817,66611,Capcom
14687,66611,Capcom
13312,66611,Capcom
13775,66611,Capcom
15815,66611,Capcom
92905,66611,Capcom
15,66612,Reflections Interactive
4494,66612,Reflections Interactive
3941,66612,Reflections Interactive
4677,66612,Reflections Interactive
35,66613,Square Enix
8157,66613,Square Enix
20775,66613,Square Enix
567,66614,Squaresoft
8981,66614,Squaresoft
22,66617,Clover Studio
6314,66619,Secret Level
29119,66619,Secret Level
10649,66619,Secret Level
972,66620,Codemasters
2356,66620,Codemasters
15615,66620,Codemasters
15614,66620,Codemasters
26,66621,Rockstar North
2409,66621,Rockstar North
6315,66621,Rockstar North
6993,66621,Rockstar North
3945,66621,Rockstar North
5799,66621,Rockstar North
3946,66621,Rockstar North
7611,66621,Rockstar North
5801,66621,Rockstar North
7187,66621,Rockstar North
4564,66621,Rockstar North
6315,66621,Rockstar North
3714,66621,Rockstar North
6790,66621,Rockstar North
6992,66621,Rockstar North
5028,66621,Rockstar North
5800,66621,Rockstar North
12253,66621,Rockstar North
6791,66621,Rockstar North
12460,66621,Rockstar North
6792,66621,Rockstar North
10641,66621,Rockstar North
12254,66621,Rockstar North
12773,66621,Rockstar North
13762,66621,Rockstar North
121258,66621,Rockstar North
7700,66621,Rockstar North
6142,66623,Ninja Theory
13988,66623,Ninja Theory
13364,66623,Ninja Theory
177,66624,BioWare
29,66624,BioWare
3133,66624,BioWare
6305,66624,BioWare
843,66624,BioWare
2343,66624,BioWare
7237,66624,BioWare
7238,66624,BioWare
12205,66624,BioWare
12206,66624,BioWare
11558,66624,BioWare
7848,66624,BioWare
12606,66624,BioWare
7170,66624,BioWare
10508,66624,BioWare
13704,66624,BioWare
20768,66624,BioWare
11697,66624,BioWare
12063,66624,BioWare
13705,66624,BioWare
12162,66624,BioWare
13845,66624,BioWare
34382,66624,BioWare
13582,66624,BioWare
19593,66624,BioWare
13706,66624,BioWare
7849,66624,BioWare
31,66626,Grasshopper Manufacture
8146,66626,Grasshopper Manufacture
3690,66626,Grasshopper Manufacture
5379,66626,Grasshopper Manufacture
4190,66626,Grasshopper Manufacture
11469,66626,Grasshopper Manufacture
11801,66626,Grasshopper Manufacture
79350,66626,Grasshopper Manufacture
11991,66626,Grasshopper Manufacture
33265,66626,Grasshopper Manufacture
15239,66626,Grasshopper Manufacture
15238,66626,Grasshopper Manufacture
32,66627,Guerrilla Games
969,66627,Guerrilla Games
888,66627,Guerrilla Games
33,66627,Guerrilla Games
4843,66630,Hudson Soft
4843,66630,Hudson Soft
9263,66630,Hudson Soft
538,66631,Konami
3645,66631,Konami
5650,66631,Konami
6903,66631,Konami
7063,66631,Konami
7103,66631,Konami
8836,66631,Konami
7707,66631,Konami
12008,66631,Konami
8234,66631,Konami
11533,66631,Konami
11534,66631,Konami
29113,66631,Konami
598,66631,Konami
13579,66631,Konami
42,66632,Kojima Productions
838,66632,Kojima Productions
3710,66632,Kojima Productions
6808,66632,Kojima Productions
10707,66632,Kojima Productions
26643,66632,Kojima Productions
11868,66632,Kojima Productions
14574,66632,Kojima Productions
18474,66632,Kojima Productions
11866,66632,Kojima Productions
12453,66632,Kojima Productions
117764,66632,Kojima Productions
122172,66632,Kojima Productions
16204,66632,Kojima Productions
13674,66632,Kojima Productions
14566,66632,Kojima Productions
529,66636,Team Ninja
46,66636,Team Ninja
5829,66636,Team Ninja
3975,66636,Team Ninja
3693,66636,Team Ninja
6878,66636,Team Ninja
6877,66636,Team Ninja
11669,66636,Team Ninja
12048,66636,Team Ninja
11056,66636,Team Ninja
11990,66636,Team Ninja
11668,66636,Team Ninja
15010,66636,Team Ninja
15043,66636,Team Ninja
26556,66636,Team Ninja
16198,66636,Team Ninja
12845,66636,Team Ninja
17098,66636,Team Ninja
882,66637,Ubisoft
5106,66637,Ubisoft
4552,66637,Ubisoft
7271,66637,Ubisoft
6739,66637,Ubisoft
9225,66637,Ubisoft
16872,66637,Ubisoft
9895,66637,Ubisoft
11851,66637,Ubisoft
18790,66637,Ubisoft
31650,66637,Ubisoft
124242,66637,Ubisoft
6738,66637,Ubisoft
7272,66637,Ubisoft
18320,66637,Ubisoft
79231,66637,Ubisoft
388,66642,Iguana Entertainment
1172,66642,Iguana Entertainment
7656,66642,Iguana Entertainment
14326,66642,Iguana Entertainment
4633,66643,Naughty Dog
10001,66643,Naughty Dog
