kljuc_igre,zanr
8,Action
4545,Action
35,Action
4567,Action
182,Action
875,Action
86,Action
528,Action
69,Action
41,Action
83,Action
620,Action
509,Action
529,Action
5655,Action
616,Action
4978,Action
300,Action
85,Action
29,Action
294,Action
93,Action
5779,Action
819,Action
497,Action
844,Action
494,Action
378,Action
5829,Action
1141,Action
536,Action
758,Action
887,Action
746,Action
2482,Action
736,Action
2286,Action
5715,Action
818,Action
2346,Action
235,Action
2465,Action
1987,Action
838,Action
291,Action
835,Action
2409,Action
770,Action
3470,Action
903,Action
784,Action
2189,Action
292,Action
843,Action
3204,Action
3706,Action
830,Action
913,Action
3479,Action
6333,Action
3709,Action
5796,Action
849,Action
895,Action
3580,Action
3327,Action
472,Action
812,Action
6357,Action
4192,Action
6091,Action
792,Action
2330,Action
3477,Action
3602,Action
3731,Action
822,Action
6315,Action
2453,Action
623,Action
3603,Action
3669,Action
3981,Action
756,Action
869,Action
3645,Action
4542,Action
1707,Action
4568,Action
2470,Action
4586,Action
2143,Action
2157,Action
3729,Action
772,Action
856,Action
6993,Action
3668,Action
2437,Action
5093,Action
5030,Action
2160,Action
2342,Action
805,Action
7161,Action
5135,Action
3707,Action
2489,Action
3426,Action
3754,Action
5380,Action
2483,Action
2408,Action
906,Action
3726,Action
3710,Action
3473,Action
5184,Action
816,Action
2609,Action
4180,Action
914,Action
7386,Action
5747,Action
3427,Action
928,Action
7502,Action
5974,Action
3609,Action
4179,Action
6308,Action
2415,Action
5650,Action
3985,Action
3950,Action
3959,Action
891,Action
3754,Action
3686,Action
4545,Action
3975,Action
6907,Action
4182,Action
6295,Action
3705,Action
4567,Action
3977,Action
984,Action
3993,Action
7035,Action
3610,Action
1491,Action
7869,Action
7042,Action
4000,Action
4179,Action
3704,Action
4515,Action
4739,Action
2117,Action
7995,Action
4978,Action
4036,Action
4543,Action
6903,Action
4178,Action
7477,Action
5091,Action
3755,Action
2192,Action
7063,Action
2603,Action
4603,Action
4848,Action
7071,Action
3961,Action
7760,Action
4553,Action
4552,Action
7187,Action
8146,Action
5715,Action
4736,Action
5276,Action
8188,Action
4987,Action
4979,Action
5026,Action
7723,Action
8444,Action
8110,Action
5379,Action
5037,Action
7750,Action
3741,Action
5036,Action
8152,Action
5751,Action
7859,Action
4181,Action
8732,Action
8361,Action
5796,Action
5395,Action
8620,Action
7866,Action
6091,Action
4564,Action
5661,Action
6142,Action
3646,Action
8807,Action
6315,Action
5662,Action
5155,Action
6301,Action
8125,Action
5025,Action
3687,Action
5773,Action
4528,Action
5271,Action
5108,Action
10211,Action
9692,Action
6676,Action
5304,Action
9884,Action
10395,Action
10199,Action
5839,Action
10593,Action
6790,Action
5768,Action
6996,Action
8984,Action
5611,Action
3986,Action
5930,Action
9410,Action
5027,Action
9446,Action
5625,Action
4037,Action
10433,Action
5941,Action
5028,Action
5780,Action
5783,Action
5100,Action
7153,Action
9856,Action
4190,Action
10443,Action
7007,Action
6183,Action
9863,Action
5933,Action
11412,Action
5107,Action
7164,Action
10204,Action
7259,Action
7058,Action
5150,Action
11565,Action
7669,Action
7152,Action
10439,Action
5800,Action
10711,Action
7178,Action
6999,Action
6354,Action
7381,Action
7702,Action
7661,Action
7500,Action
6739,Action
7655,Action
11185,Action
12147,Action
7745,Action
7268,Action
5907,Action
6755,Action
12205,Action
11156,Action
5843,Action
11186,Action
12206,Action
11274,Action
5913,Action
7720,Action
6872,Action
11310,Action
7853,Action
11558,Action
5931,Action
7796,Action
11513,Action
7870,Action
11903,Action
6314,Action
7863,Action
8582,Action
7857,Action
8076,Action
11918,Action
6744,Action
11522,Action
12556,Action
8027,Action
7103,Action
11961,Action
6871,Action
5299,Action
8154,Action
6601,Action
8815,Action
13001,Action
8836,Action
8049,Action
8090,Action
12145,Action
6931,Action
5742,Action
6666,Action
7145,Action
13309,Action
5760,Action
13319,Action
12253,Action
6776,Action
9004,Action
8131,Action
8209,Action
13895,Action
6791,Action
9098,Action
13993,Action
8248,Action
8731,Action
7871,Action
6792,Action
9156,Action
7446,Action
9061,Action
12760,Action
7432,Action
6304,Action
8837,Action
6932,Action
9273,Action
7508,Action
6695,Action
11962,Action
8705,Action
9006,Action
7980,Action
13523,Action
7176,Action
7680,Action
24231,Action
8733,Action
7732,Action
6845,Action
24481,Action
9373,Action
13691,Action
7730,Action
24931,Action
9401,Action
8651,Action
14065,Action
8081,Action
26245,Action
8171,Action
14133,Action
9404,Action
8726,Action
8115,Action
6881,Action
12107,Action
9105,Action
9574,Action
7858,Action
9051,Action
14684,Action
9400,Action
8814,Action
8970,Action
8181,Action
12166,Action
9509,Action
7851,Action
29320,Action
9861,Action
9228,Action
16013,Action
6980,Action
12197,Action
14136,Action
9066,Action
8032,Action
9369,Action
16482,Action
12200,Action
9858,Action
9072,Action
8080,Action
8059,Action
9552,Action
7198,Action
10202,Action
9088,Action
16582,Action
32046,Action
9593,Action
16788,Action
9344,Action
12347,Action
32814,Action
10260,Action
16872,Action
10610,Action
33872,Action
9662,Action
9696,Action
9428,Action
7274,Action
12673,Action
34165,Action
10316,Action
9695,Action
34285,Action
14689,Action
11021,Action
34319,Action
10597,Action
10215,Action
9570,Action
14697,Action
9507,Action
17769,Action
8520,Action
11054,Action
8802,Action
10649,Action
9998,Action
18605,Action
7322,Action
13326,Action
34559,Action
14856,Action
9657,Action
11111,Action
8842,Action
34602,Action
10697,Action
10128,Action
18810,Action
9995,Action
13367,Action
8704,Action
40751,Action
10363,Action
19170,Action
13533,Action
11187,Action
9993,Action
8914,Action
11263,Action
10421,Action
11952,Action
10437,Action
13586,Action
15383,Action
10193,Action
19371,Action
9063,Action
11313,Action
11967,Action
19372,Action
10641,Action
7697,Action
45290,Action
10187,Action
11308,Action
11454,Action
10520,Action
19975,Action
9392,Action
11369,Action
10506,Action
11994,Action
7763,Action
13945,Action
10560,Action
11417,Action
7806,Action
13969,Action
11478,Action
10346,Action
10700,Action
20766,Action
11101,Action
11162,Action
11514,Action
10373,Action
11482,Action
12028,Action
20775,Action
11149,Action
7822,Action
14285,Action
72891,Action
16077,Action
21652,Action
10001,Action
10414,Action
7850,Action
76200,Action
11938,Action
12067,Action
23030,Action
8114,Action
11966,Action
16242,Action
11545,Action
11564,Action
10489,Action
11801,Action
11067,Action
23266,Action
12005,Action
16335,Action
11670,Action
11705,Action
11919,Action
26016,Action
79071,Action
10507,Action
79350,Action
11217,Action
16483,Action
11262,Action
10521,Action
79407,Action
11218,Action
8158,Action
12072,Action
16544,Action
29124,Action
12007,Action
85985,Action
11260,Action
11515,Action
86261,Action
29289,Action
11305,Action
12288,Action
11519,Action
12705,Action
618,Action
16294,Action
11991,Action
30033,Action
11671,Action
11525,Action
30509,Action
11675,Action
8816,Action
12207,Action
17053,Action
11882,Action
11533,Action
12972,Action
31122,Action
8951,Action
735,Action
17094,Action
12115,Action
31520,Action
11905,Action
13140,Action
32083,Action
11943,Action
16695,Action
12766,Action
17105,Action
12148,Action
32181,Action
12866,Action
17127,Action
17253,Action
17180,Action
34003,Action
11954,Action
12909,Action
11215,Action
17303,Action
13123,Action
11953,Action
12432,Action
41598,Action
11990,Action
11306,Action
17581,Action
13380,Action
13479,Action
42519,Action
908,Action
17612,Action
13478,Action
45267,Action
12029,Action
13191,Action
11383,Action
11891,Action
45669,Action
12001,Action
10424,Action
18789,Action
13542,Action
17562,Action
12773,Action
13762,Action
11532,Action
18790,Action
13789,Action
11916,Action
56291,Action
10454,Action
983,Action
12810,Action
64872,Action
23127,Action
11566,Action
11934,Action
13989,Action
12027,Action
14897,Action
14125,Action
12062,Action
15633,Action
71456,Action
12155,Action
23328,Action
11661,Action
12169,Action
14574,Action
10583,Action
15634,Action
18325,Action
72853,Action
20788,Action
14701,Action
72868,Action
1802,Action
18474,Action
13495,Action
73487,Action
23648,Action
21641,Action
14817,Action
73689,Action
12371,Action
2120,Action
21642,Action
23653,Action
15010,Action
11082,Action
12338,Action
22009,Action
12836,Action
22294,Action
11928,Action
22645,Action
15070,Action
12453,Action
12946,Action
11534,Action
3607,Action
16118,Action
32096,Action
100802,Action
26815,Action
11977,Action
3724,Action
112431,Action
16194,Action
103888,Action
12874,Action
112524,Action
13498,Action
16283,Action
14053,Action
12899,Action
11836,Action
4186,Action
16484,Action
106195,Action
12069,Action
15621,Action
16262,Action
4201,Action
115391,Action
