kljuc_igre,kljuc_izdajatelja,izdajatelj
1,5551,Microsoft Game Studios
8,5552,Electronic Arts
5974,5553,Nintendo
20,5556,Microsoft
7453,5557,Namco Bandai
15,5558,Ubisoft
10,5559,2K Games
4545,55510,Capcom
527,55511,Square Enix
567,55512,Squaresoft
115391,55513,Valve Corporation
8984,55514,Sony
5312,55515,Sega
972,55516,Codemasters
182,55517,Rockstar Games
86,55519,Sony Computer Entertainment Europe
32,55521,Sony Computer Entertainment
3428,55522,Microsoft Studios
40,55523,Konami
529,55524,Tecmo
969,55526,Eidos Interactive
2603,55527,Crystal Dynamics
240,55528,Acclaim Entertainment
2189,55529,Funcom
776,55530,Atari
93,55532,Activision
83,55533,Bethesda Softworks
156,55535,Deep Silver
11984,55536,SCEA
107,55537,Namco
295,55538,THQ
4030,55539,Midway Games
887,55546,Blizzard Entertainment
11023,55552,Focus Home Interactive
5129,55557,Bandai
8976,55558,Atlus
125373,55560,SNK
2295,55562,Interplay Entertainment
4596,55563,3DO
5982,55565,Midway
235,55566,Rare
472,55571,Infogrames
4843,55573,Hudson Soft
4603,55579,GameTek
7732,55580,Kemco
4196,55582,Interplay
2408,55583,American Softworks
11417,55599,Mindscape
11299,555112,Accolade
10865,555123,Gremlin Interactive
2330,555132,Origin Systems
8582,555135,Psygnosis
2284,555139,Ascii Entertainment
3719,555142,Sierra On-Line
497,555143,Fox Interactive
11389,555150,Vic Tokai
818,555151,Warner Bros. Interactive Entertainment
737,555162,id Software
622,555164,Sierra Entertainment
404,555165,Gathering of Developers
844,555169,SouthPeak Games
11903,555176,Bethesda
17459,555179,Viva Media
13029,555187,City Interactive
3959,555193,Sierra
5722,555195,Majesco
57,555197,Konami Digital Entertainment
509,555212,Crave Entertainment
13305,555220,Ubi Soft
737,555225,Imagineer
3921,555226,BAM! Entertainment
11151,555228,Take-Two Interactive
4340,555235,Virgin Interactive Entertainment
9740,555273,Strategic Simulations
574,555287,Playmates Interactive Entertainment
2286,555313,Human Entertainment
7606,555342,The Adventure Company
7409,555355,Southpeak Interactive
3473,555356,Jaleco Entertainment
16398,555360,Aksys Games
7398,555361,Disney Interactive Studios
9884,555367,Namco Bandai Games
223,555371,Interplay Productions
1061,555382,GT Interactive Software
8390,555394,MumboJumbo
417,555396,K2 Network
10610,555397,Paradox Interactive
2489,555403,Frictional Games
20,555405,1C Company
2437,555410,CDV Software Entertainment USA
14918,555412,Trion Worlds
15639,555416,Kalypso Media
2482,555419,Frozenbyte
1094,555434,Kotobuki System
628,555438,Williams Entertainment
5625,555465,Empire Interactive
4633,555469,Universal Interactive
80547,555472,Hip Games
27263,555474,Majesco Games
5908,555475,Gotham Games
8815,555479,Ignition Entertainment
5191,555488,JoWooD Entertainment
2286,555506,Agetec
7731,555515,Titus France
86,555525,Sony Computer Entertainment America
7153,555554,Sega Corporation
4204,555555,Groove Games
4328,555561,Strategy First
5419,555566,Deep Water
4848,555570,Digital Pictures
4699,555573,American Laser Games
4601,555574,Kirin Entertainment
12844,555606,Telltale Games
5163,555614,Global Star Software
2157,555619,TopWare Interactive
5304,555637,Conspiracy Entertainment
5317,555639,Cdv Software Entertainment
41135,555647,Xseed Games
14856,555648,NIS America
14065,555667,505 Games
6304,555675,D3Publisher
5662,555677,Ertain
48533,555680,Playdead
15661,555681,Sony Online Entertainment
9570,555697,Aspyr
19,555699,Valve
51,555726,Ubisoft Entertainment
14350,555790,UFO Interactive Games
9858,555796,Mastiff
5141,555798,Black Label Games
7299,555810,Deep Silver Vienna
925,555820,2K
11101,555831,Exor Studios
3602,555832,Vivendi Universal Games
737,555840,CDV Software
7720,555847,MC2-Microïds
13001,555853,Talonsoft
8359,555875,Telltale
118180,555878,The Farm 51
8097,555879,Creative Edge Studios
8106,555881,Nicolas Entertainment Group
922,555882,Tripwire Interactive
8131,555885,Vogster Entertainment
8108,555897,Akella
9834,555909,Larian Studios
8968,555915,Nordic Games
8651,555933,Paleo Entertainment
9070,555974,989 Studios
8970,555975,D-Dub
85076,555976,Alchemist
13797,5551021,ValuSoft
3987,5551025,Majesco Sales
7035,5551026,FromSoftware
9467,5551038,Gathering
32580,5551043,Rebellion Developments
5929,5551062,Aspyr Media
71735,5551090,Revolution software
10128,5551131,Ritual Entertainment
5107,5551138,Majesco Entertainment
11516,5551144,Tecmo Koei
10402,5551170,Hothead Games
22884,5551182,dtp entertainment
2353,5551184,Bohemia Interactive
10493,5551186,2 Dawn Games
3587,5551187,FormGen
744,5551191,Epic Games
10711,5551215,Grinding Gear Games
117548,5551217,Arc System Works
30241,5551222,Gameloft
72853,5551224,Graffiti Entertainment
78335,5551226,ESP Software
5835,5551239,DreamCatcher Interactive
3327,5551240,Microids
4190,5551242,Rising Star Games
11338,5551245,Deep
11507,5551255,Surge
14906,5551274,345 Games
11905,5551276,Gathering Developers
14574,5551282,Konami Computer Entertainment
12087,5551290,Funsta
6497,5551305,Gamecock Media Group
12441,5551321,Codemasters Software
7720,5551328,Dream Catcher Interactive
850,5551335,Namco Bandai Games America
